number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.9538209664765319,0.086710996952412,0.086710996952412,0.086710996952412,295
0.6324555320336759,0.31622776601683794,0.0,0.0,70
0.0,0.7071067811865475,0.0,0.0,58
0.30978906612544815,0.0035607938635108982,0.9507319615574098,0.0035607938635108982,75
0.9215455665108366,0.07088812050083358,0.0,0.0,38
0.010971139976028737,0.1133684464189636,0.9874025978425862,0.0036570466586762452,100
0.022929508398902763,0.022929508398902763,0.9859688611528188,0.022929508398902763,260
0.9943788200017947,0.02367568619051892,0.09470274476207569,0.02367568619051892,147
0.0,0.7071067811865475,0.0,0.0,34
0.0,0.7071067811865475,0.0,0.0,65
0.0391238715455946,0.058685807318391896,0.9780967886398649,0.0065206452575991,125
0.0,0.18813254936137608,0.9782892566791557,0.0028943469132519397,310
0.0,0.015195743453926562,0.9998799192683678,0.0,50
0.917662935482247,0.22941573387056174,0.0,0.0,79
0.014322297480788657,0.028644594961577313,0.9023047412896854,0.014322297480788657,329
0.0,0.011762874435483565,0.999844327016103,0.0,115
0.6708203932499369,0.22360679774997896,0.0,0.22360679774997896,140
0.6466476444794552,0.01361363462062011,0.7623635387547262,0.006806817310310055,225
0.0,0.017790552906668495,0.9998290733547694,0.0,149
0.0563527451499613,0.008050392164280187,0.9982486283707431,0.0,50
0.0,0.01916219519477461,0.9964341501282796,0.0,88
0.30151134457776363,0.30151134457776363,0.0,0.30151134457776363,200
0.2734343708098653,0.06835859270246633,0.0,0.06835859270246633,160
0.4970467494357247,0.009746014694818131,0.8673953078388137,0.009746014694818131,125
0.9396184772996341,0.2013468165642073,0.0,0.0,75
0.0872638888259323,0.01745277776518646,0.9948083326156282,0.0,80
0.3779644730092272,0.3779644730092272,0.0,0.3779644730092272,140
0.3430420153097612,0.022869467687317412,0.9376481751800139,0.022869467687317412,134
0.09901475429766744,0.09901475429766744,0.0,0.0,65
0.02105008511178788,0.15637206083042426,0.983339690222091,0.0030071550159696974,159
0.2937387277416126,0.018358670483850786,0.9546508651602409,0.018358670483850786,300
0.0,0.005555041223697253,0.9999074202655054,0.0,95
0.0,0.0663723311599972,0.0,0.0,70
0.27968132488889175,0.028932550850575008,0.9595962698774044,0.004822091808429168,248
0.0027469521447677637,0.013734760723838819,0.999890580695466,0.0027469521447677637,750
0.8017837257372732,0.2672612419124244,0.0,0.0,90
0.03047930685089895,0.04876689096143832,0.9814336805989462,0.00609586137017979,80
0.0,0.014839670194962734,0.9942579030625033,0.014839670194962734,85
0.6882472016116852,0.22941573387056174,0.0,0.0,50
0.8528028654224417,0.21320071635561041,0.0,0.21320071635561041,295
0.0,0.07106690545187015,0.0,0.0,80
0.0,0.30151134457776363,0.0,0.0,109
0.9791840981793674,0.06119900613621046,0.0,0.0,100
0.07939288023723219,0.0029404770458234144,0.9968217185341376,0.0,45
0.1544817560223309,0.004065309369008709,0.9878701766691161,0.004065309369008709,135
0.07229207164115006,0.024097357213716687,0.9960240981669564,0.008032452404572229,115
0.020521154131106806,0.0029315934473009724,0.9996733655296315,0.0,185
0.07102705857155676,0.02367568619051892,0.9943788200017947,0.02367568619051892,150
0.0,0.5949304694090852,0.800078907136356,0.0025643554715908848,290
0.9128709291752769,0.3651483716701107,0.0,0.0,80
0.9926846128175763,0.11454053224818188,0.0,0.0,65
0.012294875457333323,0.008196583638222215,0.9917866202248881,0.0,45
0.9983918841648464,0.007861353418620837,0.055029473930345865,0.007861353418620837,80
0.013696625523331566,0.00821797531399894,0.9998536632032043,0.0,75
0.0702093016636116,0.00468062011090744,0.9969720836232847,0.0,69
0.9868703275903379,0.035245368842512066,0.0,0.0,65
0.0,0.24253562503633297,0.0,0.0,60
0.6546536707079772,0.2182178902359924,0.0,0.2182178902359924,195
0.17467249369631901,0.02757986742573458,0.9744886490426218,0.0,69
0.3380617018914066,0.1690308509457033,0.0,0.1690308509457033,160
0.9638631946829986,0.08032193289024989,0.0,0.08032193289024989,150
0.0,0.8164965809277261,0.0,0.0,250
0.0,0.30151134457776363,0.0,0.30151134457776363,90
0.03098634577648569,0.0077465864441214225,0.9993096512916635,0.0077465864441214225,235
0.0,0.030420122377170223,0.9995183066784502,0.0,100
0.0,0.06608186004550898,0.9912279006826347,0.06608186004550898,239
0.0,0.031189143077590267,0.9980525784828885,0.031189143077590267,65
0.08302407035036405,0.0043696879131770545,0.9962888442043685,0.0043696879131770545,115
0.10578145115396231,0.003526048371798744,0.9943456408472457,0.003526048371798744,60
0.005775428155578901,0.005775428155578901,0.9991490709151499,0.0,60
0.0,0.07106690545187015,0.0,0.0,45
0.7071067811865475,0.35355339059327373,0.0,0.35355339059327373,300
0.8429272304235246,0.1873171623163388,0.0,0.0,35
0.05086967503446426,0.04069574002757141,0.9970456306754996,0.0,69
0.016526871317772036,0.003305374263554407,0.9949176533298765,0.003305374263554407,198
0.4931969619160719,0.1643989873053573,0.0,0.1643989873053573,100
0.18542778530180912,0.015781088110792266,0.9823727348968185,0.0,60
0.0,0.00558641782932318,0.9999687914488493,0.0,225
0.05782426153133174,0.01217352874343826,0.9982293569619374,0.003043382185859565,325
0.03145161744878306,0.0034946241609758954,0.999462510039106,0.0034946241609758954,350
0.0,0.7071067811865475,0.0,0.0,45
0.005864018500491519,0.0029320092502457596,0.9998151543338041,0.0029320092502457596,200
0.2304119979572758,0.005120266621272795,0.9728506580418311,0.005120266621272795,100
0.3132666455004339,0.00489479133594428,0.9495895191731903,0.00489479133594428,125
0.01369667691268881,0.008218006147613286,0.9998574146262831,0.0,68
0.4582368258806312,0.019499439399175793,0.8872244926624987,0.009749719699587897,115
0.05525789639955376,0.02762894819977688,0.9946421351919678,0.0,55
0.06565321642986127,0.06565321642986127,0.0,0.06565321642986127,65
0.276172385369497,0.09205746178983235,0.8285171561084911,0.09205746178983235,300
0.9961393366299975,0.019156525704423027,0.05746957711326909,0.019156525704423027,100
0.33244414326349636,0.003392287176158126,0.9430558349719591,0.0,98
